user,train_resources,test_resources,recommendations,precision,recall,hit_rate,ndcg
kyrre,30,7,7,0.7,1.0,1.0,1.0000000000000002
tofir,30,7,7,0.7,1.0,1.0,1.0000000000000002
clement,30,8,8,0.8,1.0,1.0,1.0000000000000002
mauro,30,7,7,0.7,1.0,1.0,1.0000000000000002
sam.leonard_,30,7,10,0.7,1.0,1.0,1.0000000000000002
flora,30,7,7,0.7,1.0,1.0,1.0000000000000002
benjamin,30,8,8,0.8,1.0,1.0,1.0000000000000002
mario,30,7,7,0.7,1.0,1.0,1.0000000000000002
claude,30,7,7,0.7,1.0,1.0,1.0000000000000002
turid,30,7,7,0.7,1.0,1.0,1.0000000000000002
noureddine,30,7,7,0.7,1.0,1.0,1.0000000000000002
vasyl,30,7,7,0.7,1.0,1.0,1.0000000000000002
valerie,30,7,7,0.7,1.0,1.0,1.0000000000000002
tiago,30,7,7,0.7,1.0,1.0,1.0000000000000002
leontino,30,7,7,0.7,1.0,1.0,1.0000000000000002
paula,30,7,7,0.7,1.0,1.0,1.0000000000000002
nassim,30,7,7,0.7,1.0,1.0,1.0000000000000002
garagnon,30,7,10,0.7,1.0,1.0,1.0000000000000002
jacques,30,7,7,0.7,1.0,1.0,1.0000000000000002
frederique,30,8,8,0.8,1.0,1.0,1.0000000000000002
fabio,30,7,7,0.7,1.0,1.0,1.0000000000000002
agop,30,7,7,0.7,1.0,1.0,1.0000000000000002
charles,30,7,7,0.7,1.0,1.0,1.0000000000000002
trond,30,7,7,0.7,1.0,1.0,1.0000000000000002
tony,30,7,7,0.7,1.0,1.0,1.0000000000000002
carole,30,7,10,0.7,1.0,1.0,1.0000000000000002
adeline,30,7,10,0.7,1.0,1.0,1.0000000000000002
jeremy.mahieux_wa,30,7,7,0.7,1.0,1.0,1.0000000000000002
roxane,30,7,7,0.7,1.0,1.0,1.0000000000000002
rudy,30,7,7,0.7,1.0,1.0,1.0000000000000002
jose,30,7,7,0.7,1.0,1.0,1.0000000000000002
kerem,30,7,7,0.7,1.0,1.0,1.0000000000000002
monica,30,7,7,0.7,1.0,1.0,1.0000000000000002
aurélie,30,7,7,0.7,1.0,1.0,1.0000000000000002
regine,30,7,7,0.7,1.0,1.0,1.0000000000000002
patrizia,30,7,7,0.7,1.0,1.0,1.0000000000000002
freddy,30,7,7,0.7,1.0,1.0,1.0000000000000002
rachid,30,7,7,0.7,1.0,1.0,1.0000000000000002
eric,31,8,7,0.7,0.875,1.0,0.9202054614375519
ronan,30,7,7,0.7,1.0,1.0,1.0000000000000002
